N eles L H h h/H prim_cg prim_bdd dual_tefi
60 5 1.000000 0.083333 0.016667 0.200000 11 0 0
60 5 2.000000 0.166667 0.033333 0.200000 11 0 0
60 5 3.000000 0.250000 0.050000 0.200000 11 0 0
60 5 4.000000 0.333333 0.066667 0.200000 11 0 0
60 10 1.000000 0.166667 0.016667 0.100000 5 0 0
60 10 2.000000 0.333333 0.033333 0.100000 5 0 0
60 10 3.000000 0.500000 0.050000 0.100000 5 0 0
60 10 4.000000 0.666667 0.066667 0.100000 5 0 0
60 15 1.000000 0.250000 0.016667 0.066667 3 0 0
60 15 2.000000 0.500000 0.033333 0.066667 3 0 0
60 15 3.000000 0.750000 0.050000 0.066667 3 0 0
60 15 4.000000 1.000000 0.066667 0.066667 3 0 0
60 20 1.000000 0.333333 0.016667 0.050000 2 0 0
60 20 2.000000 0.666667 0.033333 0.050000 2 0 0
60 20 3.000000 1.000000 0.050000 0.050000 2 0 0
60 20 4.000000 1.333333 0.066667 0.050000 2 0 0
120 5 1.000000 0.041667 0.008333 0.200000 23 0 0
120 5 2.000000 0.083333 0.016667 0.200000 23 0 0
120 5 3.000000 0.125000 0.025000 0.200000 23 0 0
120 5 4.000000 0.166667 0.033333 0.200000 23 0 0
120 10 1.000000 0.083333 0.008333 0.100000 11 0 0
120 10 2.000000 0.166667 0.016667 0.100000 11 0 0
120 10 3.000000 0.250000 0.025000 0.100000 11 0 0
120 10 4.000000 0.333333 0.033333 0.100000 11 0 0
120 15 1.000000 0.125000 0.008333 0.066667 7 0 0
120 15 2.000000 0.250000 0.016667 0.066667 7 0 0
120 15 3.000000 0.375000 0.025000 0.066667 7 0 0
120 15 4.000000 0.500000 0.033333 0.066667 7 0 0
120 20 1.000000 0.166667 0.008333 0.050000 5 0 0
120 20 2.000000 0.333333 0.016667 0.050000 5 0 0
120 20 3.000000 0.500000 0.025000 0.050000 5 0 0
120 20 4.000000 0.666667 0.033333 0.050000 5 0 0
180 5 1.000000 0.027778 0.005556 0.200000 35 0 0
180 5 2.000000 0.055556 0.011111 0.200000 35 0 0
180 5 3.000000 0.083333 0.016667 0.200000 35 0 0
180 5 4.000000 0.111111 0.022222 0.200000 35 0 0
180 10 1.000000 0.055556 0.005556 0.100000 17 0 0
180 10 2.000000 0.111111 0.011111 0.100000 17 0 0
180 10 3.000000 0.166667 0.016667 0.100000 17 0 0
180 10 4.000000 0.222222 0.022222 0.100000 17 0 0
180 15 1.000000 0.083333 0.005556 0.066667 11 0 0
180 15 2.000000 0.166667 0.011111 0.066667 11 0 0
180 15 3.000000 0.250000 0.016667 0.066667 11 0 0
180 15 4.000000 0.333333 0.022222 0.066667 11 0 0
180 20 1.000000 0.111111 0.005556 0.050000 8 0 0
180 20 2.000000 0.222222 0.011111 0.050000 8 0 0
180 20 3.000000 0.333333 0.016667 0.050000 8 0 0
180 20 4.000000 0.444444 0.022222 0.050000 8 0 0
240 5 1.000000 0.020833 0.004167 0.200000 47 0 0
240 5 2.000000 0.041667 0.008333 0.200000 47 0 0
240 5 3.000000 0.062500 0.012500 0.200000 47 0 0
240 5 4.000000 0.083333 0.016667 0.200000 47 0 0
240 10 1.000000 0.041667 0.004167 0.100000 23 0 0
240 10 2.000000 0.083333 0.008333 0.100000 23 0 0
240 10 3.000000 0.125000 0.012500 0.100000 23 0 0
240 10 4.000000 0.166667 0.016667 0.100000 23 0 0
240 15 1.000000 0.062500 0.004167 0.066667 15 0 0
240 15 2.000000 0.125000 0.008333 0.066667 15 0 0
240 15 3.000000 0.187500 0.012500 0.066667 15 0 0
240 15 4.000000 0.250000 0.016667 0.066667 15 0 0
240 20 1.000000 0.083333 0.004167 0.050000 11 0 0
240 20 2.000000 0.166667 0.008333 0.050000 11 0 0
240 20 3.000000 0.250000 0.012500 0.050000 11 0 0
240 20 4.000000 0.333333 0.016667 0.050000 11 0 0
