N eles L H h h/H prim_dir dual_dir prim_cg prim_bdd dual_tefi
60 5 1.000000 0.083333 0.016667 0.200000 6.823408e-14 4.940353e-01 6.509227e-14 3.078936e-13 1.389232e-03
60 5 2.000000 0.166667 0.033333 0.200000 6.823408e-14 4.940355e-01 6.509227e-14 3.078936e-13 1.389232e-03
60 5 3.000000 0.250000 0.050000 0.200000 3.810310e-14 4.940355e-01 7.128806e-14 2.989840e-13 5.556928e-03
60 5 4.000000 0.333333 0.066667 0.200000 6.823408e-14 4.940356e-01 6.509227e-14 3.078936e-13 1.389232e-03
60 10 1.000000 0.166667 0.016667 0.100000 2.016002e-14 1.000000e+00 2.523046e-14 3.224349e-14 9.189268e-03
60 10 2.000000 0.333333 0.033333 0.100000 2.016002e-14 1.000000e+00 2.523046e-14 3.224349e-14 9.189268e-03
60 10 3.000000 0.500000 0.050000 0.100000 2.113461e-14 1.348400e-01 1.553141e-14 2.950062e-14 1.364080e-14
60 10 4.000000 0.666667 0.066667 0.100000 2.016002e-14 1.000000e+00 2.523046e-14 3.224349e-14 9.189268e-03
60 15 1.000000 0.250000 0.016667 0.066667 2.589782e-14 1.000000e+00 2.718751e-14 2.677946e-14 7.923220e-03
60 15 2.000000 0.500000 0.033333 0.066667 2.589782e-14 1.000000e+00 2.718751e-14 2.677946e-14 7.923220e-03
60 15 3.000000 0.750000 0.050000 0.066667 2.152240e-14 8.237544e-01 1.932756e-14 2.218286e-14 8.351914e-03
60 15 4.000000 1.000000 0.066667 0.066667 2.589782e-14 1.000000e+00 2.718751e-14 2.677946e-14 7.923220e-03
60 20 1.000000 0.333333 0.016667 0.050000 7.505561e-16 1.000000e+00 7.447602e-16 5.887847e-16 1.194720e-02
60 20 2.000000 0.666667 0.033333 0.050000 7.505561e-16 1.000000e+00 7.447602e-16 5.887847e-16 1.194720e-02
60 20 3.000000 1.000000 0.050000 0.050000 3.462696e-14 1.000000e+00 3.281109e-14 3.510504e-14 3.917815e-02
60 20 4.000000 1.333333 0.066667 0.050000 7.505561e-16 1.000000e+00 7.447602e-16 5.887847e-16 1.194720e-02
120 5 1.000000 0.041667 0.008333 0.200000 3.801941e-13 3.515851e-01 3.786246e-13 5.784640e-12 4.752336e-04
120 5 2.000000 0.083333 0.016667 0.200000 3.801941e-13 3.515854e-01 3.786246e-13 5.784640e-12 4.752336e-04
120 5 3.000000 0.125000 0.025000 0.200000 1.671634e-13 3.515855e-01 3.225332e-13 5.456863e-12 1.900935e-03
120 5 4.000000 0.166667 0.033333 0.200000 3.801941e-13 3.515855e-01 3.786246e-13 5.784640e-12 4.752336e-04
120 10 1.000000 0.083333 0.008333 0.100000 2.178611e-13 1.000000e+00 2.122013e-13 2.507837e-13 6.717890e-03
120 10 2.000000 0.166667 0.016667 0.100000 2.178611e-13 1.000000e+00 2.122013e-13 2.507837e-13 6.717890e-03
120 10 3.000000 0.250000 0.025000 0.100000 1.246439e-13 7.029019e-02 1.144684e-13 2.244955e-13 8.058206e-14
120 10 4.000000 0.333333 0.033333 0.100000 2.178611e-13 1.000000e+00 2.122013e-13 2.507837e-13 6.717890e-03
120 15 1.000000 0.125000 0.008333 0.066667 2.339029e-13 1.000000e+00 2.031878e-13 2.104602e-13 1.135973e-02
120 15 2.000000 0.250000 0.016667 0.066667 2.339029e-13 1.000000e+00 2.031878e-13 2.104602e-13 1.135973e-02
120 15 3.000000 0.375000 0.025000 0.066667 9.117234e-14 6.005949e-01 9.761350e-14 5.639059e-14 2.641107e-03
120 15 4.000000 0.500000 0.033333 0.066667 2.339029e-13 1.000000e+00 2.031878e-13 2.104602e-13 1.135973e-02
120 20 1.000000 0.166667 0.008333 0.050000 1.224489e-13 1.000000e+00 1.294641e-13 1.145524e-13 6.925448e-03
120 20 2.000000 0.333333 0.016667 0.050000 1.224489e-13 1.000000e+00 1.294641e-13 1.145524e-13 6.925448e-03
120 20 3.000000 0.500000 0.025000 0.050000 1.566908e-13 1.000000e+00 1.402169e-13 1.517403e-13 2.718082e-02
120 20 4.000000 0.666667 0.033333 0.050000 1.224489e-13 1.000000e+00 1.294641e-13 1.145524e-13 6.925448e-03
180 5 1.000000 0.027778 0.005556 0.200000 9.766246e-13 1.000000e+00 6.564094e-13 2.992695e-11 4.002703e-02
180 5 2.000000 0.055556 0.011111 0.200000 9.766246e-13 1.000000e+00 6.564094e-13 2.992695e-11 4.002703e-02
180 5 3.000000 0.083333 0.016667 0.200000 8.438681e-13 2.876277e-01 8.433072e-13 2.684375e-11 2.559241e-04
180 5 4.000000 0.111111 0.022222 0.200000 9.766246e-13 1.000000e+00 6.564094e-13 2.992695e-11 4.002703e-02
180 10 1.000000 0.055556 0.005556 0.100000 6.685537e-13 1.000000e+00 5.534298e-13 1.056318e-12 2.973289e-02
180 10 2.000000 0.111111 0.011111 0.100000 6.685537e-13 1.000000e+00 5.534298e-13 1.056318e-12 2.973289e-02
180 10 3.000000 0.166667 0.016667 0.100000 4.970394e-13 1.000000e+00 4.725059e-13 1.439365e-13 2.240645e-03
180 10 4.000000 0.222222 0.022222 0.100000 6.685537e-13 1.000000e+00 5.534298e-13 1.056318e-12 2.973289e-02
180 15 1.000000 0.083333 0.005556 0.066667 5.812662e-13 1.000000e+00 6.190372e-13 3.757416e-13 4.969751e-03
180 15 2.000000 0.166667 0.011111 0.066667 5.812662e-13 1.000000e+00 6.190372e-13 3.757416e-13 4.969751e-03
180 15 3.000000 0.250000 0.016667 0.066667 5.237808e-13 1.000000e+00 4.387270e-13 6.898969e-13 9.098601e-03
180 15 4.000000 0.333333 0.022222 0.066667 5.812662e-13 1.000000e+00 6.190372e-13 3.757416e-13 4.969751e-03
180 20 1.000000 0.111111 0.005556 0.050000 3.859972e-13 1.000000e+00 4.185391e-13 4.225895e-13 1.048274e-02
180 20 2.000000 0.222222 0.011111 0.050000 3.859972e-13 1.000000e+00 4.185391e-13 4.225895e-13 1.048274e-02
180 20 3.000000 0.333333 0.016667 0.050000 2.649321e-13 1.000000e+00 2.819947e-13 2.346855e-13 1.014511e-02
180 20 4.000000 0.444444 0.022222 0.050000 3.859972e-13 1.000000e+00 4.185391e-13 4.225895e-13 1.048274e-02
240 5 1.000000 0.020833 0.004167 0.200000 1.304754e-12 2.493266e-01 1.314818e-12 8.812181e-11 1.653462e-04
240 5 2.000000 0.041667 0.008333 0.200000 1.304754e-12 2.493271e-01 1.314818e-12 8.812181e-11 1.653462e-04
240 5 3.000000 0.062500 0.012500 0.200000 4.045117e-13 2.493272e-01 1.068075e-12 1.262570e-10 6.613849e-04
240 5 4.000000 0.083333 0.016667 0.200000 1.304754e-12 2.493272e-01 1.314818e-12 8.812181e-11 1.653462e-04
240 10 1.000000 0.041667 0.004167 0.100000 7.103859e-13 1.000000e+00 6.461935e-13 2.510400e-13 1.555011e-03
240 10 2.000000 0.083333 0.008333 0.100000 7.103859e-13 1.000000e+00 6.461935e-13 2.510400e-13 1.555011e-03
240 10 3.000000 0.125000 0.012500 0.100000 2.620871e-13 3.566469e-02 2.973722e-13 6.210696e-12 6.986857e-14
240 10 4.000000 0.166667 0.016667 0.100000 7.103859e-13 1.000000e+00 6.461935e-13 2.510400e-13 1.555011e-03
240 15 1.000000 0.062500 0.004167 0.066667 7.583162e-13 1.000000e+00 5.864236e-13 1.281508e-12 7.122273e-03
240 15 2.000000 0.125000 0.008333 0.066667 7.583162e-13 1.000000e+00 5.864236e-13 1.281508e-12 7.122273e-03
240 15 3.000000 0.187500 0.012500 0.066667 4.538928e-14 4.292716e-01 5.438031e-14 1.862622e-12 8.874404e-04
240 15 4.000000 0.250000 0.016667 0.066667 7.583162e-13 1.000000e+00 5.864236e-13 1.281508e-12 7.122273e-03
240 20 1.000000 0.083333 0.004167 0.050000 2.875403e-13 1.000000e+00 3.260514e-13 2.724420e-13 1.237196e-02
240 20 2.000000 0.166667 0.008333 0.050000 2.875403e-13 1.000000e+00 3.260514e-13 2.724420e-13 1.237196e-02
240 20 3.000000 0.250000 0.012500 0.050000 3.282753e-13 1.000000e+00 2.541930e-13 5.542107e-13 1.034698e-02
240 20 4.000000 0.333333 0.016667 0.050000 2.875403e-13 1.000000e+00 3.260514e-13 2.724420e-13 1.237196e-02
