N eles L H h h/H prim_dir dual_dir prim_cg prim_bdd dual_tefi
60 5 1.000000 0.083333 0.016667 0.200000 -5.238233 0.000512 0.003205 0.000293 0.006127
60 5 2.000000 0.166667 0.033333 0.200000 -0.479545 0.000257 0.001824 0.000150 0.003622
60 5 3.000000 0.250000 0.050000 0.200000 -0.465447 0.000465 0.001909 0.000168 0.003386
60 5 4.000000 0.333333 0.066667 0.200000 -0.468296 0.000266 0.001835 0.000155 0.003397
60 10 1.000000 0.166667 0.016667 0.100000 -0.455249 0.000256 0.000707 0.000375 0.002749
60 10 2.000000 0.333333 0.033333 0.100000 -0.545217 0.000305 0.001152 0.000561 0.003247
60 10 3.000000 0.500000 0.050000 0.100000 -0.615736 0.000260 0.000715 0.000157 0.003112
60 10 4.000000 0.666667 0.066667 0.100000 -0.509911 0.000267 0.000828 0.000190 0.003368
60 15 1.000000 0.250000 0.016667 0.066667 -0.470512 0.000392 0.000572 0.000179 0.003358
60 15 2.000000 0.500000 0.033333 0.066667 -0.486268 0.000298 0.000708 0.000690 0.003334
60 15 3.000000 0.750000 0.050000 0.066667 -0.459820 0.000285 0.000511 0.000500 0.003135
60 15 4.000000 1.000000 0.066667 0.066667 -0.479047 0.000286 0.000536 0.000201 0.003634
60 20 1.000000 0.333333 0.016667 0.050000 -0.470586 0.000317 0.000445 0.000224 0.003621
60 20 2.000000 0.666667 0.033333 0.050000 -0.461072 0.000310 0.000497 0.000546 0.003435
60 20 3.000000 1.000000 0.050000 0.050000 -0.579977 0.000314 0.000450 0.000223 0.002823
60 20 4.000000 1.333333 0.066667 0.050000 -0.494919 0.000310 0.000484 0.000651 0.003310
120 5 1.000000 0.041667 0.008333 0.200000 -0.465425 0.000374 0.006812 0.000236 0.004826
120 5 2.000000 0.083333 0.016667 0.200000 -0.500704 0.000368 0.007974 0.000507 0.004456
120 5 3.000000 0.125000 0.025000 0.200000 -0.482616 0.000373 0.006861 0.000481 0.004536
120 5 4.000000 0.166667 0.033333 0.200000 -0.514328 0.000400 0.006835 0.000231 0.005036
120 10 1.000000 0.083333 0.008333 0.100000 -0.467637 0.000293 0.002078 0.000179 0.003931
120 10 2.000000 0.166667 0.016667 0.100000 -0.493589 0.000314 0.002173 0.000189 0.003850
120 10 3.000000 0.250000 0.025000 0.100000 -0.532932 0.000292 0.002154 0.000198 0.003996
120 10 4.000000 0.333333 0.033333 0.100000 -0.495644 0.000314 0.002190 0.000191 0.004136
120 15 1.000000 0.125000 0.008333 0.066667 -0.497159 0.000301 0.001262 0.000198 0.003891
120 15 2.000000 0.250000 0.016667 0.066667 -0.505770 0.000330 0.001353 0.000195 0.004684
120 15 3.000000 0.375000 0.025000 0.066667 -0.512331 0.000325 0.001494 0.000235 0.003480
120 15 4.000000 0.500000 0.033333 0.066667 -0.514381 0.000299 0.001185 0.000196 0.003959
120 20 1.000000 0.166667 0.008333 0.050000 -0.499917 0.000334 0.000899 0.000219 0.003924
120 20 2.000000 0.333333 0.016667 0.050000 -0.588812 0.000335 0.000946 0.000271 0.003902
120 20 3.000000 0.500000 0.025000 0.050000 -0.517924 0.000330 0.000888 0.000222 0.003577
120 20 4.000000 0.666667 0.033333 0.050000 -0.519805 0.000330 0.000944 0.000215 0.004056
180 5 1.000000 0.027778 0.005556 0.200000 -0.507932 0.000561 0.015400 0.000701 0.005417
180 5 2.000000 0.055556 0.011111 0.200000 -0.522868 0.000563 0.015624 0.000734 0.005351
180 5 3.000000 0.083333 0.016667 0.200000 -0.636260 0.000617 0.016253 0.000870 0.006431
180 5 4.000000 0.111111 0.022222 0.200000 -0.519045 0.000526 0.015501 0.000734 0.005539
180 10 1.000000 0.055556 0.005556 0.100000 -0.554531 0.000394 0.004610 0.000467 0.004384
180 10 2.000000 0.111111 0.011111 0.100000 -0.530664 0.000356 0.004542 0.000221 0.004122
180 10 3.000000 0.166667 0.016667 0.100000 -0.541444 0.000363 0.004447 0.000225 0.004638
180 10 4.000000 0.222222 0.022222 0.100000 -0.523809 0.000344 0.004827 0.000542 0.004565
180 15 1.000000 0.083333 0.005556 0.066667 -0.546633 0.000350 0.002475 0.000231 0.004430
180 15 2.000000 0.166667 0.011111 0.066667 -0.548259 0.000355 0.003505 0.000578 0.006342
180 15 3.000000 0.250000 0.016667 0.066667 -0.551308 0.000351 0.002516 0.000240 0.003952
180 15 4.000000 0.333333 0.022222 0.066667 -0.528863 0.000342 0.002516 0.000229 0.004348
180 20 1.000000 0.111111 0.005556 0.050000 -0.527905 0.000359 0.001784 0.000503 0.003903
180 20 2.000000 0.222222 0.011111 0.050000 -0.554666 0.000354 0.001765 0.000483 0.004159
180 20 3.000000 0.333333 0.016667 0.050000 -0.547131 0.000325 0.001720 0.000522 0.004218
180 20 4.000000 0.444444 0.022222 0.050000 -0.556075 0.000335 0.001678 0.000245 0.003855
240 5 1.000000 0.020833 0.004167 0.200000 -0.543669 0.000831 0.029748 0.001193 0.006404
240 5 2.000000 0.041667 0.008333 0.200000 -0.553774 0.000914 0.027547 0.001257 0.006753
240 5 3.000000 0.062500 0.012500 0.200000 -0.534590 0.000903 0.028771 0.001170 0.006323
240 5 4.000000 0.083333 0.016667 0.200000 -0.549158 0.000808 0.028395 0.001151 0.006302
240 10 1.000000 0.041667 0.004167 0.100000 -0.564512 0.000432 0.007957 0.000555 0.005186
240 10 2.000000 0.083333 0.008333 0.100000 -0.569472 0.000414 0.007898 0.000560 0.005151
240 10 3.000000 0.125000 0.012500 0.100000 -0.557449 0.000393 0.008282 0.000545 0.005202
240 10 4.000000 0.166667 0.016667 0.100000 -0.544146 0.000402 0.009280 0.000597 0.005314
240 15 1.000000 0.062500 0.004167 0.066667 -0.566020 0.000384 0.004550 0.000523 0.004850
240 15 2.000000 0.125000 0.008333 0.066667 -0.572064 0.000379 0.004259 0.000522 0.004758
240 15 3.000000 0.187500 0.012500 0.066667 -0.589689 0.000352 0.004189 0.000518 0.004777
240 15 4.000000 0.250000 0.016667 0.066667 -0.575220 0.000378 0.004559 0.000707 0.005388
240 20 1.000000 0.083333 0.004167 0.050000 -0.593125 0.000391 0.002849 0.000551 0.004544
240 20 2.000000 0.166667 0.008333 0.050000 -0.574602 0.000385 0.002912 0.000539 0.004481
240 20 3.000000 0.250000 0.012500 0.050000 -0.577149 0.000418 0.003016 0.000561 0.004625
240 20 4.000000 0.333333 0.016667 0.050000 -0.576189 0.000401 0.002968 0.000589 0.004614
